S#,SNAME,SEX,BDATE,HEIGHT,DORM
74362555,林桂花,男,2001-10-19,177.3,东14舍712
42213157,武雷,男,2003-06-27,162.1,东6舍416
94296921,叶瑞,男,2006-10-19,182.1,东16舍611
62085812,黄雪,女,2001-03-12,154.4,西20舍613
68672916,聂莉,男,2006-03-17,179.5,西16舍801
63046166,钟金凤,男,2006-09-22,182.0,西17舍416
11219474,张林,男,2000-06-12,184.1,西15舍308
92489936,刘小红,男,2002-09-07,165.1,东11舍318
96788971,吴桂珍,女,2004-04-10,154.3,东10舍208
10506704,鲍秀英,女,2002-12-01,179.5,西8舍203
91031365,王秀英,男,2006-04-04,166.8,东13舍308
89049688,汪萍,男,2006-11-05,177.8,西12舍308
14982305,蒋建,女,2001-10-17,179.6,东13舍812
70191117,徐峰,男,2001-02-23,172.6,东4舍420
28271288,李帅,男,2002-11-09,156.9,东2舍501
60186138,黄秀英,女,2000-03-14,188.9,西1舍805
94252868,陆斌,男,2002-01-08,158.0,西4舍513
73139140,张宁,男,2003-12-25,171.5,东9舍610
93767573,王军,女,2003-09-02,167.3,西3舍706
98841246,曾岩,女,2002-08-01,171.9,西17舍219
57239759,高秀云,女,2004-07-25,165.8,东13舍218
74526606,曾艳,男,2004-02-03,180.6,西19舍313
83652287,李志强,女,2004-05-26,189.0,西11舍108
30161534,王飞,男,2003-09-28,158.3,东10舍520
12513774,杨瑞,男,2002-01-21,175.8,西2舍208
76538603,梁欢,男,2004-06-24,158.6,西18舍303
61917036,范丹丹,男,2001-06-26,180.5,西13舍805
82017027,曹桂兰,女,2004-12-23,175.7,东7舍616
69104938,魏玉兰,男,2001-09-24,158.8,东6舍105
51377985,方红梅,女,2002-03-12,163.8,西8舍801
97841881,梁涛,女,2006-04-01,179.4,东20舍613
34618073,储慧,女,2004-08-05,161.8,西5舍707
63842418,张云,男,2001-09-26,180.3,东16舍818
93767941,刘坤,女,2006-05-25,151.4,东2舍405
74398507,罗金凤,男,2005-07-29,179.6,东12舍210
88422925,桑畅,男,2000-07-28,151.4,东5舍119
19552091,孙淑英,男,2005-07-05,152.8,西14舍515
28726895,范桂香,女,2002-02-13,185.9,东6舍801
15426089,陈桂英,男,2002-02-27,178.1,西2舍219
53011347,颜博,女,2006-11-09,165.9,东8舍213
77259234,郑荣,女,2003-10-04,167.0,西7舍813
39445319,高秀兰,男,2004-02-21,179.6,西13舍611
21436747,陈秀荣,男,2001-09-22,185.6,东20舍219
25709634,唐桂芝,女,2004-02-18,169.1,东14舍616
35680146,袁凤兰,男,2000-07-16,153.8,东4舍803
58233630,李波,男,2003-11-23,152.7,西7舍211
72110274,陈红,男,2005-07-03,178.0,东19舍418
31169990,萧秀云,女,2003-11-25,178.2,东7舍319
51052463,王雪,男,2002-06-23,164.2,西14舍104
66210333,郭秀兰,男,2004-05-01,154.9,西1舍713
10740024,张建军,女,2001-05-16,189.2,东20舍113
22559041,张淑华,女,2005-03-12,177.9,东18舍118
66110338,谢瑞,男,2005-08-13,161.7,西6舍503
76814911,傅欢,男,2003-11-26,176.8,东6舍705
82043780,梁波,男,2004-02-24,157.6,西20舍702
22616596,邱淑华,男,2002-07-12,154.9,西2舍112
53370016,王红,男,2005-12-14,173.0,东12舍808
15988696,张丹丹,男,2005-01-01,178.7,西7舍815
22683830,郑阳,女,2002-04-22,163.1,西3舍317
20529273,程兵,女,2006-04-02,161.9,西11舍520
18110439,张杰,男,2000-08-06,174.4,西15舍705
37295933,陈霞,女,2004-02-05,165.9,西19舍507
84909015,陈建,男,2004-09-26,152.5,东5舍420
24585363,周秀梅,女,2001-05-05,165.6,西2舍818
55887186,张淑华,女,2000-11-04,159.9,西5舍601
86945146,高磊,男,2001-10-28,182.0,西13舍409
44396128,毛桂香,女,2006-11-24,165.4,西20舍304
42447696,刘桂兰,女,2001-09-18,171.4,西15舍418
13040975,叶晨,女,2000-10-28,189.1,东18舍302
16414464,薛兰英,男,2002-04-01,176.3,东10舍116
81231225,崔静,男,2001-09-23,157.3,西11舍308
90513770,舒芳,女,2003-11-12,162.8,西15舍106
50672705,左春梅,男,2006-02-09,163.6,东2舍602
74268862,孙伟,男,2004-04-07,164.0,西7舍812
57556005,甄娜,男,2003-08-24,174.9,东11舍517
53731605,邓倩,女,2006-07-17,165.1,西7舍119
32133869,秦平,男,2006-06-30,153.5,西17舍406
52774719,罗文,男,2006-05-13,166.5,东13舍603
68706484,刘鑫,女,2004-07-31,155.5,东20舍817
81549914,曾秀英,男,2001-01-18,150.1,东9舍602
60017661,秦红霞,女,2004-10-28,153.5,东8舍815
70124669,凌秀珍,女,2002-11-29,155.6,东13舍413
50534348,陈桂兰,男,2002-11-05,157.2,西7舍719
72828682,陈超,男,2004-11-01,163.7,东11舍519
23295393,吴秀荣,男,2001-04-09,154.1,西9舍615
23534729,平秀珍,男,2001-06-01,153.3,西12舍411
40451092,刘琴,女,2002-09-06,161.5,东13舍703
90000440,苏金凤,女,2005-06-20,180.2,西16舍818
97868356,吴玉珍,女,2002-08-03,162.0,东15舍107
17727925,欧阳秀荣,女,2002-08-01,182.7,东16舍313
84898771,孔淑华,女,2005-08-05,165.7,东20舍319
25082726,苏俊,男,2004-12-08,151.8,东1舍508
87371765,罗英,女,2005-12-25,180.5,西15舍404
70210386,苏淑珍,女,2003-09-21,157.7,东14舍216
68254744,张丽,男,2005-01-28,172.6,西13舍413
29239743,金娜,男,2002-03-02,183.1,西11舍406
58288578,王玲,女,2003-08-26,182.5,东16舍808
89230723,崔晨,女,2001-06-08,161.4,西14舍620
68269239,朱晶,女,2000-09-28,171.7,东9舍606
45690343,王燕,女,2003-04-23,183.9,西19舍311
81219264,寇娟,女,2006-06-11,187.5,东1舍712
70432865,刘颖,男,2001-03-21,159.3,东18舍804
52130450,张玉兰,男,2003-07-31,175.0,东6舍406
66110302,甘淑华,女,2006-01-24,167.7,东17舍105
32832728,王凯,男,2005-09-20,178.2,东14舍714
97750800,张鹏,女,2004-05-04,173.2,西7舍316
28248189,沈英,男,2006-06-09,189.1,东2舍814
69520644,张明,男,2003-06-11,189.2,东16舍403
60820762,王辉,女,2001-09-12,154.6,东14舍102
51506934,陈冬梅,男,2000-11-28,162.5,东13舍216
80870739,余伟,男,2003-09-04,170.5,西20舍613
86680643,汪俊,女,2004-08-04,184.9,西13舍820
10433249,张颖,男,2005-11-05,177.9,西15舍817
69925513,阎玉珍,男,2001-10-02,189.0,东2舍304
83395089,文洁,女,2001-07-01,155.6,东19舍315
92666919,唐阳,女,2004-04-30,163.5,西10舍519
51989661,戴东,男,2006-02-15,189.6,西18舍305
72052389,田文,男,2006-02-01,151.8,西20舍307
18442148,谭秀华,男,2005-10-23,160.5,西14舍801
77114228,何淑华,女,2003-07-27,174.9,东14舍414
20009700,文阳,男,2003-09-19,183.1,西16舍705
23766963,陈建平,男,2000-04-28,165.6,东7舍217
21908090,袁建,男,2005-06-20,157.3,西2舍511
15539635,罗娟,女,2001-07-01,161.5,东14舍109
96144452,林霞,男,2002-07-12,176.0,东2舍318
23868802,陈峰,男,2005-01-12,185.0,东2舍506
13040991,李建军,男,2002-08-30,166.0,西7舍106
30393762,秦健,女,2006-03-02,168.8,西6舍205
58400710,朱桂荣,男,2006-07-29,175.6,东2舍412
97198797,张娜,男,2006-03-29,156.4,东17舍714
34622658,朱艳,女,2004-12-19,158.8,西2舍107
70064065,李涛,男,2002-04-09,185.2,西5舍810
45021975,张坤,男,2002-07-30,184.9,东3舍417
36473758,牛琴,男,2006-03-29,168.3,西9舍505
87919000,祝淑珍,男,2005-02-13,188.0,东1舍313
96816852,李柳,男,2001-03-18,157.0,西8舍803
99438850,阎凯,男,2000-07-29,152.7,西6舍501
93224889,王宇,男,2002-08-01,176.3,西17舍619
19378107,宋霞,女,2004-04-19,168.1,东15舍601
17128864,张颖,女,2005-04-03,166.7,东4舍605
67755419,张瑜,女,2003-09-16,162.3,东17舍210
21157244,武龙,女,2004-03-25,166.2,东8舍808
36592975,许雪梅,女,2005-03-14,180.7,西19舍604
77827983,贺刚,女,2004-10-09,168.4,东12舍101
85407344,刘秀芳,男,2003-12-04,163.9,东6舍503
29417222,沈桂花,女,2001-12-31,177.4,西15舍809
15376667,刘云,女,2001-06-27,174.1,西17舍608
60337844,陈建军,男,2000-12-20,151.3,西10舍618
63695672,隋秀芳,女,2002-08-14,151.3,西14舍617
53647568,陈丽娟,女,2001-10-28,167.6,东4舍118
93145792,张坤,男,2006-07-12,183.4,东19舍807
56518024,罗博,男,2002-10-06,167.5,东6舍518
59112035,张强,女,2004-07-22,158.1,西12舍305
15736699,聂欣,男,2003-09-05,183.7,东9舍416
98760383,李利,男,2005-05-01,186.0,东16舍212
32748102,杨倩,女,2001-08-30,161.8,西15舍415
43829522,庄凤兰,男,2002-02-28,169.1,东13舍216
40022663,王艳,男,2002-01-14,161.9,西11舍812
18893082,张淑华,男,2004-05-20,163.5,东5舍807
74105236,孙阳,女,2006-03-12,174.2,西5舍307
23106107,胡娟,男,2005-10-29,182.9,西17舍617
47226833,张杨,男,2006-05-08,154.4,西20舍419
78590108,程丽华,女,2002-01-07,184.9,西19舍501
48890682,陈明,女,2004-10-20,174.3,东10舍704
86333503,杨红霞,女,2005-09-25,183.0,西18舍706
54060707,蔡桂荣,男,2006-04-29,168.9,西14舍415
83900953,刘倩,女,2000-01-17,153.1,西19舍310
58947849,张岩,女,2005-07-08,176.7,东16舍411
69461271,晁晶,女,2004-01-13,152.2,西4舍111
16287126,吴亮,男,2000-12-24,153.3,东13舍302
23086532,萧淑兰,女,2005-07-06,171.8,西14舍509
23824184,张雪梅,男,2004-04-12,178.6,东5舍619
54271605,张凤英,男,2005-10-30,184.9,西20舍604
66045083,蒙淑珍,女,2002-11-16,177.9,西5舍204
25611797,高金凤,女,2000-08-01,170.4,东7舍714
89121645,罗兰英,男,2002-01-08,180.9,西7舍519
16675585,汪超,男,2000-06-07,189.4,西2舍715
75886779,邱洋,男,2005-03-17,186.1,东8舍507
14082277,郑凤兰,女,2004-03-16,156.9,西12舍410
30758413,王玲,女,2002-08-23,162.3,东13舍618
72039666,曹建,男,2003-05-21,165.4,西9舍403
97454890,苏冬梅,男,2002-02-22,174.8,西7舍802
21135349,苏坤,女,2001-07-31,154.8,西10舍204
51293202,谭萍,女,2003-08-22,161.4,西8舍203
92542403,李超,男,2006-08-13,160.6,东20舍811
85792887,杨桂荣,女,2002-10-17,186.4,东8舍703
67988409,王亮,女,2003-10-07,158.6,东12舍811
20402739,萧洁,男,2005-09-22,151.8,东1舍313
65833883,舒芳,男,2003-03-27,153.6,东10舍312
43394601,万桂花,女,2005-06-13,175.4,西7舍309
24084257,王桂珍,男,2005-07-13,177.6,西3舍309
65898936,许凯,男,2001-08-30,162.8,西13舍507
19943131,王建平,男,2001-10-31,188.7,东3舍114
13902645,杨丽华,女,2003-12-02,173.2,西13舍404
66037441,张云,男,2003-04-18,154.0,东8舍405
50584657,汪坤,男,2006-05-27,154.0,西12舍617
43969882,朱秀云,女,2002-01-07,155.4,西6舍705
90902796,张建平,女,2006-11-27,170.8,东15舍220
75533066,鞠欢,男,2004-07-23,152.0,东1舍316
93466907,武丽丽,女,2004-07-01,188.9,东9舍519
89116658,李莹,女,2002-06-26,178.6,东18舍820
59252972,林桂荣,男,2004-04-18,157.1,西17舍202
16039213,张磊,女,2001-02-19,176.0,东19舍217
57850570,傅玉,女,2004-05-03,164.2,东12舍705
82135440,朱欢,女,2000-01-23,156.3,西10舍406
82863885,杨畅,女,2001-01-10,176.1,西19舍308
76891856,杨倩,女,2004-12-07,154.0,西13舍819
23404819,苗强,女,2004-06-19,168.9,东5舍107
76487792,刘璐,女,2005-05-23,181.0,东7舍815
66591457,林鑫,男,2000-09-15,172.4,东3舍217
27523210,王瑞,女,2004-03-10,166.3,东2舍216
33223979,侯英,女,2003-11-12,155.4,东19舍413
88924745,吴燕,男,2005-05-06,168.7,西4舍410
66996007,王彬,男,2006-06-19,173.4,东4舍512
40755827,李志强,女,2004-01-09,177.9,东8舍719
95440746,阳欣,男,2002-09-11,157.1,东14舍519
17181112,郑海燕,男,2005-09-09,181.9,西1舍219
62659433,刘杰,男,2002-12-05,178.1,东10舍215
35934351,冯建平,女,2003-06-13,165.9,东13舍315
47639354,陈浩,男,2002-05-09,163.5,东11舍611
49308915,饶龙,男,2003-10-29,165.8,西1舍305
97072913,李桂芳,男,2000-03-26,154.5,东16舍818
84620077,沈秀云,女,2000-05-17,183.4,东1舍303
65283071,韦楠,女,2004-08-27,161.5,西19舍312
80771734,李秀华,男,2006-06-03,171.9,西12舍820
19467057,王欢,女,2004-08-20,178.6,西1舍606
44382891,覃秀云,女,2005-09-11,153.8,东19舍410
11248595,陈军,女,2001-11-11,173.6,西1舍112
93468147,谢丽华,女,2000-08-29,173.6,东11舍520
40023012,丁金凤,男,2003-01-25,162.3,西20舍420
78042429,沈建军,女,2005-01-14,160.3,东9舍806
22183960,蔡凤兰,女,2004-10-24,174.8,东12舍513
58679594,文秀华,男,2003-09-01,185.0,西11舍502
60622463,孙佳,女,2003-04-10,160.2,西13舍302
21321096,冯文,男,2005-07-29,158.3,西8舍107
85833367,李霞,女,2005-11-27,157.6,西19舍105
93761788,邓桂花,男,2006-04-30,152.4,西15舍608
36529963,蓝明,男,2001-03-02,157.2,西17舍713
72757131,郑军,男,2000-06-13,173.6,西10舍119
76842552,张利,女,2002-12-23,165.4,西14舍610
15974369,徐玉梅,男,2005-10-09,166.3,东8舍409
31441769,张丽华,男,2002-02-25,164.4,东14舍502
74042246,陈雷,女,2001-09-24,183.3,西14舍616
15816463,易利,男,2005-08-11,150.9,西7舍503
29288739,杨桂荣,男,2003-10-08,186.9,东12舍418
22222672,尹梅,男,2006-06-17,167.4,东8舍209
82002263,王玉华,女,2006-10-13,181.9,东6舍601
20110025,李小红,男,2001-12-05,153.4,西5舍419
84006841,徐玉梅,男,2003-04-26,158.3,东8舍115
86802390,钟雪,男,2001-09-15,178.7,西14舍304
32037129,刘健,男,2006-05-26,156.4,西4舍318
64505962,黄林,女,2003-11-14,164.3,东5舍505
22716721,李秀兰,男,2000-06-22,182.5,东1舍515
94447894,钱建,男,2004-08-06,153.6,东9舍213
46475291,李阳,女,2005-10-21,166.6,东3舍816
15253171,周秀兰,男,2006-11-14,175.2,西7舍411
60516248,杨秀云,女,2006-01-20,166.3,西11舍106
15373496,鲁冬梅,女,2003-12-31,150.2,东3舍714
47761713,高莉,男,2002-01-11,180.4,西8舍813
61419943,莫雷,女,2004-05-29,169.0,东18舍506
26340586,蔡桂香,女,2001-04-07,151.0,东4舍701
68442302,高静,女,2002-04-07,152.2,东3舍204
57388839,郭荣,男,2004-08-27,174.8,东3舍103
99092704,左倩,女,2001-11-10,172.9,西3舍409
30314934,金秀梅,女,2003-10-24,176.8,西20舍504
66159593,周畅,男,2000-04-06,157.0,西8舍418
93204838,谭鹏,女,2000-09-05,165.4,西8舍101
47055221,陈东,男,2001-11-01,189.1,东15舍109
91147689,张平,女,2002-08-19,178.9,东13舍407
86059863,王桂兰,男,2002-10-11,187.7,东19舍707
72911079,王勇,男,2005-01-05,163.6,东14舍110
70686083,徐俊,女,2006-01-05,172.0,西4舍305
57184266,苏秀英,男,2002-09-07,156.5,东18舍107
89646605,刘瑞,女,2005-05-31,150.8,西16舍620
49976251,罗淑珍,男,2000-07-07,162.2,东6舍517
68818203,朱峰,女,2004-09-27,170.0,西15舍408
64360589,李萍,男,2001-10-02,162.9,西3舍709
68589272,刘丽,男,2000-07-04,183.5,东20舍316
97896031,王秀梅,男,2002-03-09,186.2,西19舍602
29911747,巫军,男,2004-03-10,167.5,东16舍214
50616129,文玲,女,2005-01-31,158.5,东7舍710
48747350,黄秀珍,男,2004-05-14,157.1,西11舍313
48767063,胡萍,男,2002-07-23,157.4,东15舍304
80117641,霍颖,男,2004-12-01,181.3,东17舍703
50799316,邓平,女,2006-12-06,180.8,西1舍216
99078962,刘刚,女,2003-11-05,167.1,东17舍105
58349595,高鑫,男,2002-04-14,155.9,东18舍708
67717968,苏亮,男,2005-12-28,164.5,西15舍211
74986817,张燕,男,2001-03-11,174.5,东11舍216
29179138,曾秀兰,男,2001-07-25,174.7,东7舍607
55348682,贺英,男,2006-03-13,161.0,东2舍511
12563113,潘杰,男,2004-10-05,165.6,西20舍506
43588655,张红,男,2005-02-01,165.4,西12舍714
96899929,刘琴,女,2006-04-06,177.4,东4舍207
81482363,朱俊,女,2005-01-15,180.4,东16舍814
59255108,李帆,男,2005-12-10,160.7,东11舍211
47501694,江玉,男,2006-05-23,180.3,西17舍711
40834511,赵玉珍,男,2002-11-28,168.6,西14舍516
54792414,陈玉梅,男,2001-01-01,184.3,西3舍809
24103337,陆志强,男,2004-12-19,174.2,东14舍213
76109037,邓想,女,2000-04-18,174.1,西6舍701
97387154,杨秀珍,男,2004-06-26,153.4,西12舍409
46574039,姚斌,女,2004-10-24,157.4,西12舍609
81112492,陈艳,男,2006-04-28,180.9,西6舍409
39204746,郭华,男,2003-03-05,189.9,东12舍320
15434969,王静,女,2003-08-25,169.0,东12舍103
69381512,陈桂兰,女,2005-02-20,159.9,东2舍706
72540855,赵涛,男,2006-08-12,182.8,西14舍116
92823950,孙利,女,2003-08-12,187.1,东20舍807
32625959,范玉华,男,2005-10-08,168.6,东15舍208
88668103,祁婷,女,2000-10-01,155.7,东13舍315
58090339,段颖,男,2000-03-12,185.5,东16舍203
74636576,左欣,女,2004-04-24,171.7,西2舍319
83519214,陈淑英,男,2006-01-25,156.1,东19舍819
35198465,王桂兰,男,2004-11-23,171.1,西3舍520
17921339,田成,男,2005-03-22,158.7,西11舍807
73748891,庄磊,女,2004-06-04,163.3,东4舍407
62999258,乌小红,女,2002-10-30,168.0,西7舍712
57034890,高岩,女,2005-06-14,170.8,东17舍619
10173796,鲁杰,男,2006-11-08,178.1,东12舍108
45114424,徐宁,男,2000-10-06,153.3,西15舍408
93585862,胡俊,男,2004-05-30,152.9,东9舍702
78514854,欧阳秀荣,女,2001-01-07,158.1,东19舍412
26865610,王海燕,女,2000-04-21,177.4,东6舍615
83212513,杨洋,男,2004-06-26,165.2,西7舍717
77533029,杨坤,女,2005-09-17,155.8,西16舍513
56022275,唐娜,男,2006-08-09,158.5,东14舍512
50268888,陈艳,女,2001-01-28,156.3,西2舍504
53638597,金伟,女,2006-12-13,178.8,西8舍611
95152586,陈洋,男,2000-08-19,170.4,东13舍409
97704729,向建,男,2001-02-19,150.5,东6舍206
52318126,陆桂荣,女,2001-09-10,186.4,西12舍807
32497222,王欣,男,2001-02-17,189.5,东12舍512
95211952,张玉英,男,2002-11-03,153.0,西20舍217
35550199,王婷婷,女,2006-09-14,185.1,东18舍215
41856917,孙波,男,2002-08-13,184.5,西12舍415
64573964,周建,女,2004-08-30,164.9,西5舍318
92975101,张利,男,2003-08-19,155.7,东14舍118
29231292,程浩,女,2006-10-02,183.8,东11舍210
24839076,匡英,男,2000-06-13,187.1,东20舍807
43507668,徐红,男,2005-06-16,189.3,东4舍716
98163356,吴燕,女,2002-06-19,172.0,东6舍320
83620232,张建国,女,2003-08-07,167.6,东9舍706
55332206,蒋欣,男,2005-07-27,184.0,西8舍618
24652703,蒋鑫,男,2004-11-14,177.5,西8舍215
20171159,刘想,女,2000-09-03,175.5,西6舍508
35538412,王婷,女,2003-08-23,186.4,东2舍614
22782005,黄柳,男,2005-07-16,150.1,东14舍208
83711615,张瑜,女,2006-03-27,179.2,东13舍105
47462220,王建国,女,2001-01-09,151.4,东16舍405
16896585,林萍,男,2000-10-01,162.4,西14舍205
45488088,莫婷婷,男,2000-02-06,173.3,东6舍606
78140895,邱洋,男,2003-09-21,174.4,东11舍810
97147399,李琳,男,2005-09-04,171.1,西4舍818
97467007,柴斌,女,2005-12-26,183.2,东10舍318
53656656,徐瑞,女,2001-11-21,152.0,西20舍417
36059362,张宇,男,2005-05-28,176.1,西14舍707
79049848,王兰英,女,2001-08-16,159.3,东6舍405
52305753,包宇,女,2004-10-01,186.8,东10舍818
65810416,陶林,男,2006-02-12,184.7,西8舍308
49120153,丁淑珍,女,2000-01-08,158.8,东2舍718
57249105,李慧,男,2005-06-05,176.3,东20舍204
54175644,黄欣,女,2001-01-22,174.7,东18舍315
57950103,贺霞,男,2001-02-11,168.5,东1舍502
98461084,许丽,男,2005-03-25,153.8,东14舍402
85606644,叶宇,女,2001-11-22,167.5,东15舍401
23922712,张雷,女,2006-10-01,182.4,西10舍511
11094259,方洁,男,2004-02-25,175.6,东12舍809
92530436,田坤,男,2006-05-01,176.2,东13舍410
74341327,石杰,男,2001-03-21,189.6,东10舍319
11485937,岳冬梅,女,2003-08-06,152.6,西5舍220
87783545,萧强,女,2003-01-03,186.2,西16舍320
90166820,石丽丽,男,2002-12-29,189.8,东14舍117
69420953,麦亮,女,2006-04-02,174.9,东13舍101
61335344,方彬,女,2006-01-23,182.0,西17舍803
13825052,李涛,女,2003-06-21,167.8,西3舍110
57842737,萧璐,女,2002-08-29,162.3,西13舍616
31458845,张冬梅,女,2005-03-12,169.6,东6舍216
39507348,马想,女,2001-10-26,174.8,东11舍606
81371727,范文,男,2003-01-06,176.3,西18舍710
27767073,黄秀芳,男,2002-06-06,169.1,西13舍609
38057280,朱桂荣,男,2002-11-08,170.3,西9舍816
58370952,萧玉梅,男,2003-03-09,151.4,东17舍418
14147592,李桂芝,女,2000-06-13,156.9,东9舍604
75902610,萧刚,男,2002-10-27,172.9,西11舍813
80515559,邱宁,男,2000-06-17,165.4,西3舍414
90294269,杨建华,男,2004-06-13,161.2,东3舍710
70104411,郭雪梅,男,2001-07-18,165.2,西12舍803
51571295,杨桂英,男,2005-09-13,169.9,东8舍806
15171366,田建平,男,2004-12-16,171.3,东5舍705
20005772,唐海燕,女,2001-07-20,179.5,西3舍403
23890946,张桂香,男,2006-01-07,161.0,西6舍202
59193728,夏辉,女,2004-05-01,188.3,西16舍313
64497572,王晨,女,2005-06-27,157.6,西9舍407
61966889,刘斌,男,2002-05-04,182.5,西16舍507
31838276,母桂英,女,2004-11-07,184.8,东12舍205
72833412,王丽华,女,2001-05-14,176.4,西20舍308
48696739,黄桂珍,男,2005-09-21,187.2,东4舍306
88944821,梁秀兰,女,2004-05-14,189.6,西9舍407
37864661,张静,男,2002-04-05,185.5,西5舍801
92862071,张娟,男,2004-11-15,164.6,西20舍409
54305749,张峰,男,2006-12-13,153.8,东6舍213
57696571,王桂芳,女,2006-09-20,158.9,西14舍401
86965659,萧龙,女,2006-06-26,151.4,东8舍701
28570833,崔军,女,2000-06-02,164.4,西3舍715
21298302,赵健,女,2000-03-21,187.9,东15舍709
62741606,黄海燕,女,2000-03-06,174.5,东4舍803
27347339,袁玉华,女,2001-12-31,187.7,东17舍213
26723321,刘萍,女,2004-02-13,177.0,东15舍819
98143067,张桂兰,女,2000-04-01,154.5,西15舍413
82912270,王畅,女,2003-07-08,164.1,西2舍217
31083909,杨明,男,2000-03-18,166.5,东4舍405
77043558,孟东,男,2004-10-02,157.9,西10舍120
77154680,杨莉,男,2000-09-15,167.6,东20舍412
68265403,周英,女,2003-03-31,172.2,西13舍516
99237478,黄倩,男,2002-11-19,177.6,东11舍712
81730424,姜玉,男,2005-09-04,154.3,西19舍704
44345823,云龙,男,2005-09-04,167.2,东18舍108
61435105,沈丽,男,2006-11-08,172.2,西10舍203
69954508,唐欣,女,2000-06-08,169.4,西4舍718
45655989,蔡帅,女,2004-06-16,155.8,东2舍510
35086361,罗超,女,2004-03-03,180.3,东3舍613
40188600,杨琳,男,2003-12-17,174.5,西17舍816
32289105,朱淑兰,男,2005-05-18,150.8,东6舍312
10968903,彭欣,女,2001-03-04,168.3,东16舍705
82165187,李春梅,女,2003-11-13,168.9,东14舍206
52038611,李建国,男,2004-11-01,181.7,东17舍204
64439187,张玉兰,男,2006-06-01,168.6,东16舍514
26159903,马莹,女,2003-04-08,174.1,西8舍513
59964526,王秀云,男,2005-07-09,153.8,西16舍711
77411770,李鑫,男,2001-01-19,177.4,西18舍219
27873723,孙丹,男,2001-02-08,187.3,西19舍712
77169754,罗桂英,男,2000-10-29,175.3,东17舍609
77409324,丁志强,男,2001-08-03,165.7,西10舍611
66717030,张东,男,2000-02-23,157.1,西10舍609
55682263,柳莉,女,2000-10-17,184.7,西11舍319
28857431,侯淑珍,女,2003-01-29,152.1,东4舍407
13087912,陈兰英,男,2006-12-28,160.8,东16舍807
15184844,施杰,男,2001-10-21,185.8,西14舍220
31054489,侯玉兰,男,2006-12-08,169.6,西15舍201
99450484,吴磊,男,2002-05-03,158.4,东19舍317
58086657,王淑华,女,2001-05-06,153.1,西11舍413
16676563,姚建华,男,2004-09-19,168.4,东4舍214
96137091,李秀珍,女,2000-09-19,186.0,东18舍406
54716474,李鑫,男,2000-08-13,175.2,东11舍111
21876998,尹伟,男,2003-10-21,161.5,东12舍717
94589374,杨楠,女,2005-05-20,181.1,东11舍420
29486454,刘丽华,女,2006-04-03,166.9,东8舍514
73712382,金磊,女,2006-12-11,150.1,西5舍207
38972446,王芳,男,2006-01-19,178.2,西15舍508
69239453,熊淑珍,女,2000-04-24,168.2,西6舍603
27447288,牟桂英,女,2004-12-09,181.5,西17舍308
61879497,柴玉英,女,2004-12-29,173.9,西19舍815
57048084,朱云,女,2004-04-14,168.0,西19舍504
97389182,李玉兰,女,2001-05-27,172.0,西19舍705
44117056,黄强,男,2004-09-30,183.3,东10舍112
27232777,王伟,男,2003-12-03,179.2,西5舍406
43076441,何俊,女,2006-01-29,156.2,西14舍418
64810450,欧阳婷婷,女,2006-06-30,181.7,西14舍819
80648210,高畅,男,2001-12-19,152.1,东1舍419
80470107,李军,男,2002-01-05,184.1,东17舍603
13570557,李瑜,男,2001-06-23,155.0,西1舍107
56760324,韩辉,女,2003-11-14,178.4,西10舍310
55690823,姚小红,女,2004-11-10,164.9,西10舍618
35237563,张婷,男,2005-10-09,183.8,西5舍701
79978788,赵平,女,2004-11-19,185.9,东7舍202
32314536,何桂珍,女,2001-03-25,157.3,西7舍709
95112656,戈岩,男,2006-12-30,189.9,东4舍101
67824998,卢林,男,2000-01-10,159.3,东20舍805
86421505,赖瑞,男,2004-03-18,157.5,东7舍108
51277590,郭龙,男,2002-10-31,156.7,东8舍720
11571918,王帆,女,2002-06-27,184.4,西6舍812
94153744,张丽丽,女,2000-09-07,165.6,东19舍518
16402683,陈宇,男,2003-08-13,183.7,西12舍812
42837190,张婷,女,2000-06-01,178.3,东7舍705
48767618,周凤英,男,2000-03-04,183.7,西10舍810
96963291,万娟,女,2005-08-15,182.8,西13舍505
61500624,胥秀梅,女,2003-09-18,179.6,东15舍317
10561498,吴瑞,女,2001-03-11,161.3,西9舍316
45702769,王俊,女,2002-07-29,175.3,西5舍405
28001455,王雪,女,2003-07-31,171.7,西1舍206
32250292,孙敏,女,2005-08-12,165.9,东9舍709
29031793,赵伟,男,2005-12-13,154.6,西20舍119
71126067,张洋,女,2001-12-18,168.6,西10舍701
56743182,白峰,女,2003-01-07,164.5,西13舍514
27374567,谢颖,男,2000-01-20,168.4,东1舍407
61289019,梁建军,女,2006-02-04,169.8,东20舍620
20412089,黄小红,男,2006-07-16,186.1,西4舍418
20649680,张坤,男,2001-04-12,181.1,东17舍612
18266396,熊玉兰,女,2001-10-21,161.6,西17舍812
91672237,吴燕,女,2002-08-17,168.3,东15舍701
36583041,蔡莉,男,2000-02-26,184.8,西5舍406
46973796,王丹,男,2004-10-08,152.4,东4舍712
75300801,马阳,男,2006-02-11,173.6,东10舍811
81254998,宋建,男,2005-08-25,179.0,西13舍818
75121995,文林,男,2004-12-11,167.3,东15舍112
68921803,柴莹,男,2002-03-19,183.9,东7舍816
97586784,秦丹,男,2004-08-11,174.2,西9舍309
